threshold,F1_M,Recall_pos,Precision_pos,MCC
0.2,0.8977502723162398,0.7921875,0.8521008403361344,0.7962296363282411
0.21,0.8980004623208506,0.790625,0.8547297297297297,0.7968343402026348
0.22,0.8983933578442715,0.790625,0.856175972927242,0.7976570726721515
0.23,0.8983933578442715,0.790625,0.856175972927242,0.7976570726721515
0.24,0.898251526864495,0.7890625,0.8573853989813243,0.7974483146961764
0.25,0.897715504524737,0.7875,0.8571428571428571,0.7964141062364668
0.26,0.8988982561496708,0.7875,0.8615384615384616,0.7989034253801548
0.27,0.8982182650786531,0.784375,0.8625429553264605,0.797671186058205
0.28,0.8984709781224098,0.7828125,0.8652849740932642,0.7983141501604809
0.29,0.8988675521459211,0.7828125,0.8667820069204152,0.7991557404983796
0.3,0.8983275941886693,0.78125,0.8665511265164645,0.7981226509539524
0.31,0.8977868536419498,0.7796875,0.8663194444444444,0.7970887752803748
0.32,0.8976420803809458,0.778125,0.867595818815331,0.7968996165625996
0.33,0.897099646004254,0.7765625,0.8673647469458988,0.7958647893974172
0.34,0.897099646004254,0.7765625,0.8673647469458988,0.7958647893974172
0.35,0.897099646004254,0.7765625,0.8673647469458988,0.7958647893974172
0.36,0.897099646004254,0.7765625,0.8673647469458988,0.7958647893974172
0.37,0.897099646004254,0.7765625,0.8673647469458988,0.7958647893974172
0.38,0.897099646004254,0.7765625,0.8673647469458988,0.7958647893974172
0.39,0.897099646004254,0.7765625,0.8673647469458988,0.7958647893974172
0.4,0.897099646004254,0.7765625,0.8673647469458988,0.7958647893974172
0.41,0.8965564222473907,0.775,0.8671328671328671,0.7948291678795208
0.42,0.8954675986180797,0.771875,0.8666666666666667,0.7927555294633286
0.43,0.8953186685352605,0.7703125,0.8679577464788732,0.7925682509011567
0.44,0.8946217774673354,0.7671875,0.8690265486725663,0.7913451848162898
0.45,0.8950192905369199,0.7671875,0.8705673758865248,0.7922014166344562
0.46,0.8939217099965082,0.7640625,0.8701067615658363,0.790123576835195
0.47,0.8937693843083065,0.7625,0.8714285714285714,0.7899437566456831
0.48,0.893218441965887,0.7609375,0.8711985688729875,0.7889034537821807
0.49,0.893616538731949,0.7609375,0.8727598566308243,0.7897665843668316
0.5,0.893616538731949,0.7609375,0.8727598566308243,0.7897665843668316
0.51,0.8930646519602794,0.759375,0.8725314183123878,0.7887261257977299
0.52,0.8933092774960341,0.7578125,0.8754512635379061,0.7894202852553787
0.53,0.8926001145714682,0.7546875,0.8765880217785844,0.7882103101635382
0.54,0.893400255649956,0.7546875,0.8797814207650273,0.7899616811497362
