iter	Logloss
0	0.6386488642
1	0.5911767846
2	0.5496881369
3	0.5184176443
4	0.4844459487
5	0.4603826066
6	0.4365891581
7	0.4139563584
8	0.3975906688
9	0.3799689622
10	0.3667562125
11	0.355092914
12	0.343267306
13	0.3341328069
14	0.3256270366
15	0.3158056842
16	0.307696489
17	0.300362223
18	0.2943663626
19	0.2876907997
20	0.2806605852
21	0.2733318355
22	0.2695182559
23	0.265915493
24	0.2602231492
25	0.2574350843
26	0.2543209086
27	0.2512499942
28	0.2479431503
29	0.2443795423
30	0.2416514345
31	0.2381786982
32	0.234937299
33	0.2320410658
34	0.2300843439
35	0.2259299299
36	0.2233072516
37	0.2205807617
38	0.2175916198
39	0.215302472
40	0.2129380482
41	0.210676473
42	0.2092084935
43	0.2068558574
44	0.2049843037
45	0.2028948604
46	0.2012612396
47	0.199379528
48	0.1970660166
49	0.1947143024
50	0.1924900185
51	0.1908241795
52	0.1894557365
53	0.188483042
54	0.1864493202
55	0.1847808033
56	0.1829526038
57	0.1814892257
58	0.1792330263
59	0.1769551741
60	0.1749438285
61	0.1737364905
62	0.1717653788
63	0.170686531
64	0.1696172766
65	0.1684347125
66	0.1670233107
67	0.1655663065
68	0.164674584
69	0.163554391
70	0.1621416686
71	0.1609169223
72	0.1599769545
73	0.1586913398
74	0.1578423867
75	0.1569305608
76	0.1557874678
77	0.154711604
78	0.1537212797
79	0.152458383
80	0.1519502855
81	0.1512939606
82	0.1500111953
83	0.1486067606
84	0.1472222249
85	0.145991174
86	0.1450912282
87	0.1441616868
88	0.1429547215
89	0.1420908889
90	0.1414747919
91	0.1403727794
92	0.1390791759
93	0.1381627162
94	0.1373427604
95	0.1363117014
96	0.1351979496
97	0.1343377147
98	0.1330865035
99	0.1316304144
100	0.1307539711
101	0.1301218644
102	0.1293774488
103	0.1287471587
104	0.1279222411
105	0.1271733824
106	0.1265750405
107	0.1257704954
108	0.1248020889
109	0.1235151284
110	0.1227763956
111	0.1219415773
112	0.1210627762
113	0.1205912134
114	0.1197459689
115	0.1190485796
116	0.1184498332
117	0.1175204389
118	0.1167799834
119	0.1157118643
120	0.1151638451
121	0.1144287147
122	0.1133904403
123	0.1128540131
124	0.1119716792
125	0.1111182665
126	0.1104922834
127	0.1096578143
128	0.1088474688
129	0.108268112
130	0.1073170123
131	0.1065691724
132	0.1056276894
133	0.1050006445
134	0.1043196911
135	0.1036127851
136	0.1028940788
137	0.1021888569
138	0.1015129088
139	0.1007365505
140	0.1002295886
141	0.09987066305
142	0.09931600691
143	0.09856589186
144	0.09780364501
145	0.09705454799
146	0.09632741594
147	0.09583438575
148	0.0953231754
149	0.094326541
150	0.09363541155
151	0.09319597163
152	0.09265530237
153	0.09195286447
154	0.09131324657
155	0.09074688111
156	0.09012871419
157	0.08922795536
158	0.08858543365
159	0.0881715361
160	0.0875326585
161	0.08689210488
162	0.08611618924
163	0.08546167872
164	0.08484779064
165	0.08458028453
166	0.08363064175
167	0.08300572068
168	0.08242345514
169	0.08189262168
170	0.0810800795
171	0.08061397402
172	0.08017826661
173	0.07932456559
174	0.07879328734
175	0.07796304931
176	0.07767375612
177	0.07698527635
178	0.07653657456
179	0.07611330639
180	0.07560846538
181	0.07471947204
182	0.0741540752
183	0.07363322218
184	0.07319531665
185	0.07280139052
186	0.07229901484
187	0.07207284485
188	0.07145023899
189	0.07113515493
190	0.07050729841
191	0.06992546028
192	0.06925532178
193	0.06877300167
194	0.06847825116
195	0.06805606738
196	0.06759711932
197	0.06707974515
198	0.06643693354
199	0.06596460928
200	0.06564575964
201	0.06532260884
202	0.06479078067
203	0.06449631135
204	0.06425214
205	0.06368883521
206	0.06309981078
207	0.06275465755
208	0.06222035055
209	0.06177804724
210	0.06167966241
211	0.06136701701
212	0.06101476036
213	0.06062377525
214	0.06026161096
215	0.05989641711
216	0.05942628297
217	0.05914443118
218	0.05854322716
219	0.05831684408
220	0.05783609594
221	0.05764966285
222	0.05734755217
223	0.05680881184
224	0.05651436365
225	0.05602246119
226	0.05563546014
227	0.05511305058
228	0.05470684903
229	0.05436622384
230	0.05397258739
231	0.05364430316
232	0.05335845183
233	0.05324729783
234	0.05306823513
235	0.05285501015
236	0.05239338346
237	0.05236373618
238	0.05218688748
239	0.05184361601
240	0.05181521372
241	0.05143436181
242	0.05112979374
243	0.0507247166
244	0.05045540575
245	0.05027856366
246	0.04996152009
247	0.04981929975
248	0.04948099674
249	0.04917126783
250	0.04884296802
251	0.04848949703
252	0.04819585495
253	0.04800631959
254	0.04769690766
255	0.04748978174
256	0.0470881492
257	0.04698038087
258	0.0465750837
259	0.04646088865
260	0.04633823896
261	0.04615215506
262	0.04578434704
263	0.04565293486
264	0.04530637323
265	0.04504501558
266	0.04495847187
267	0.0446216123
268	0.04441359747
269	0.04420065974
270	0.04388395759
271	0.04381373357
272	0.04346610387
273	0.04319313
274	0.04301909523
275	0.04282996292
276	0.0426490807
277	0.04234643745
278	0.04221130202
279	0.04204341515
280	0.04202971061
281	0.04188237674
282	0.04178819225
283	0.04159076858
284	0.04145268321
285	0.04118558196
286	0.04109788789
287	0.04076649063
288	0.04060184606
289	0.04030258091
290	0.03999400199
291	0.03990216599
292	0.03966567087
293	0.03952776783
294	0.03934873999
295	0.03918018116
296	0.03908170844
297	0.03878621037
298	0.03840017348
299	0.03837508347
